"Indicator type","Indicator","Description"
"domain","20thcenturystudioslvip.com",""
"domain","aslviptransfer.com",""
"domain","aslviptransfer.com.tr",""
"domain","aslviptransfer.xyz",""
"domain","betslvip.com",""
"domain","brkyslvip.xyz",""
"domain","cslvip.com",""
"domain","hslvip.cn",""
"domain","hslvip.org",""
"domain","loginslvip.com",""
"domain","maeslvipni.ru",""
"domain","opensslvip.vip",""
"domain","oslvip.cc",""
"domain","oslvip.com",""
"domain","oslvip.vip",""
"domain","oslvip01.com",""
"domain","oslvip01.cyou",""
"domain","oslvip01.top",""
"domain","oslvip1.cc",""
"domain","oslvip1.com",""
"domain","oslvip1.top",""
"domain","oslvip2.com",""
"domain","oslvip3.com",""
"domain","oslvip4.com",""
"domain","phslvip.com",""
"domain","proslvip.com",""
"domain","pslvip.com",""
"domain","pslvip.xyz",""
"domain","qse-slvip2002.com",""
"domain","rgslvip.cn",""
"domain","slvip-01.com",""
"domain","slvip-02.com",""
"domain","slvip-03.com",""
"domain","slvip-05.com",""
"domain","slvip-06.com",""
"domain","slvip-07.com",""
"domain","slvip-08.com",""
"domain","slvip-12.com",""
"domain","slvip-aa.com",""
"domain","slvip-jogo.com",""
"domain","slvip-m.com",""
"domain","slvip-n.com",""
"domain","slvip-o.com",""
"domain","slvip-slot.com",""
"domain","slvip.ai",""
"domain","slvip.as",""
"domain","slvip.bot",""
"domain","slvip.city",""
"domain","slvip.cn",""
"domain","slvip.com.cn",""
"domain","slvip.com.co",""
"domain","slvip.day",""
"domain","slvip.dev",""
"domain","slvip.games",""
"domain","slvip.gift",""
"domain","slvip.help",""
"domain","slvip.la",""
"domain","slvip.lol",""
"domain","slvip.men",""
"domain","slvip.net.ph",""
"domain","slvip.news",""
"domain","slvip.now",""
"domain","slvip.plus",""
"domain","slvip.pw",""
"domain","slvip.space",""
"domain","slvip.tw",""
"domain","slvip.vin",""
"domain","slvip.xin",""
"domain","slvip.zone",""
"domain","slvip358d.com",""
"domain","slvipacesso.site",""
"domain","slvipads.com",""
"domain","slvipapp.com",""
"domain","slvipbet.com",""
"domain","slvipbf.com",""
"domain","slvipcom.com",""
"domain","slvipcombet.com",""
"domain","slvipcombr.com",""
"domain","slvipdownload.com",""
"domain","slvipfun88.com",""
"domain","slvipjili.com",""
"domain","slvipjl.com",""
"domain","slvipjogo.com",""
"domain","slviplaro.com",""
"domain","slviplegit.com",""
"domain","slviplogin.com",""
"domain","slvipph.com",""
"domain","slvipphl.com",""
"domain","slvipps.com",""
"domain","slvipsl.com",""
"domain","slvipslot.com",""
"domain","slvipslvip.com",""
"domain","slvipvip.com",""
"domain","slvipwin.com",""
"domain","sslvip.cn",""
"domain","translvip.com",""
"domain","wslvip.xyz",""
"domain","ww-slvip.com",""
"domain","www-slvip.com",""
"domain","wwwslvip.org",""
"domain","00498.bet",""
"domain","06000.bet",""
"domain","06011.bet",""
"domain","06022.bet",""
"domain","06033.bet",""
"domain","06044.bet",""
"domain","06055.bet",""
